Price,SqMeter,PrSqMtr,State,Year,Zone,Lat,Lon
365000,47,7765.95744680851,Ottimo / Ristrutturato,1930,Paolo Sarpi,0,0
540000,85,6352.941176470588,Ottimo / Ristrutturato,-1,Cenisio,0,0
380000,40,9500.0,Ottimo / Ristrutturato,1970,Guastalla,0,0
298000,161,1850.9316770186335,Buono / Abitabile,1910,Parco Trotter,0,0
900000,110,8181.818181818182,Ottimo / Ristrutturato,-1,Indipendenza,0,0
3600000,240,15000.0,Nuovo / In costruzione,1960,San Babila,0,0
740000,75,9866.666666666666,Ottimo / Ristrutturato,1970,Guastalla,0,0
618000,77,8025.974025974026,Ottimo / Ristrutturato,1900,Repubblica,0,0
450000,60,7500.0,Ottimo / Ristrutturato,1960,Morgagni,0,0
435000,55,7909.090909090909,Ottimo / Ristrutturato,1960,Morgagni,0,0
270000,30,9000.0,Ottimo / Ristrutturato,-1,Centrale,0,0
758000,98,7734.693877551021,Ottimo / Ristrutturato,1900,Repubblica,0,0
885000,115,7695.652173913043,Ottimo / Ristrutturato,1960,Morgagni,0,0
395000,80,4937.5,Nuovo / In costruzione,2011,Vigentino - Fatima,0,0
180000,74,2432.4324324324325,Ottimo / Ristrutturato,1960,Baggio,0,0
375000,148,2533.7837837837837,Da ristrutturare,1970,Bisceglie,0,0
490000,80,6125.0,Ottimo / Ristrutturato,2010,Ripamonti,0,0
1100000,125,8800.0,Ottimo / Ristrutturato,1970,Sempione,0,0
490000,51,9607.843137254902,Ottimo / Ristrutturato,1930,Garibaldi - Corso Como,0,0
735000,66,11136.363636363636,Ottimo / Ristrutturato,1930,Duomo,0,0
310000,126,2460.3174603174602,Buono / Abitabile,1970,Gratosoglio,0,0
374000,105,3561.904761904762,Da ristrutturare,1979,Cermenate - Abbiategrasso,0,0
269000,74,3635.135135135135,Ottimo / Ristrutturato,1960,Ghisolfa - Mac Mahon,0,0
210000,70,3000.0,Da ristrutturare,1950,Certosa,0,0
