Price,SqMeter,PrSqMtr,State,Year,Zone,Lat,Lon
370000,145,2551.72413793103,Good,1960,Rogoredo,45.4364,9.233
360000,104,3461.53846153846,Excellent,2024,Corvetto,45.4358,9.2185
295000,72,4097.22222222222,Good,1960,Corvetto,45.4401,9.2259
240000,58,4137.93103448276,Excellent,2024,Corvetto,45.4358,9.2185
490000,102,4803.92156862745,Excellent,2024,Corvetto,45.4358,9.2185
326000,84,3880.95238095238,Excellent,2024,Corvetto,45.4358,9.2185
235000,60,3916.66666666667,Good,1940,Corvetto,45.439,9.2257
144000,40,3600,Fair,1960,Corvetto,45.4366,9.2137
460000,94,4893.6170212766,Good,1954,Corvetto,45.439,9.22469
140000,35,4000,Poor,1970,Corvetto,45.4388,9.2299
200000,54,3703.7037037037,Excellent,2024,Corvetto,45.4358,9.2185
340000,77,4415.58441558442,Good,-1,Bologna - Sulmona,45.4422,9.2244
369000,122,3024.59016393443,Fair,1970,Corvetto,45.4365,9.217
330000,107,3084.11214953271,Fair,1960,Corvetto,45.4385,9.2265
195000,65,3000,Good,1960,Corvetto,45.4335,9.2222
320000,71,4507.04225352113,Good,1960,Corvetto,45.437,9.2242
415000,80,5187.5,Fair,1960,Corvetto,45.4412,9.2239
570000,140,4071.42857142857,Good,1970,Corvetto,45.4369,9.2128
399000,148,2695.94594594595,Good,1960,Rogoredo,45.437,9.2337
250000,100,2500,Fair,1960,Corvetto,45.4373,9.226
745000,118,6313.5593220339,Excellent,2023,Corvetto,45.4374,9.2137
645000,128,5039.0625,Excellent,2023,Corvetto,45.4374,9.2137
1390000,255,5450.98039215686,Excellent,2023,Corvetto,45.4374,9.2137
189000,65,2907.69230769231,Good,1960,Corvetto,45.433,9.2222
309000,106,2915.09433962264,Fair,1950,Corvetto,45.4373,9.22602
299000,90,3322.22222222222,Good,1940,Corvetto,45.437,9.2256
390000,343,1137.02623906706,Good,2001,Corvetto,45.4398,9.22421
380000,440,863.636363636364,Good,1984,Corvetto,45.4398,9.22421
310000,58,5344.8275862069,Good,1950,Corvetto,45.4369,9.2252
170000,30,5666.66666666667,Good,1950,Corvetto,45.4368,9.2135
310000,58,5344.8275862069,Good,1950,Corvetto,45.4369,9.2252
2195000,370,5932.43243243243,Excellent,2023,Corvetto,45.4374,9.2137
395000,110,3590.90909090909,Fair,1960,Corvetto,45.4417,9.2232
340000,115,2956.52173913043,Poor,1960,Corvetto,45.4409,9.2169
169000,58,2913.79310344828,Fair,1960,Corvetto,45.4353,9.21939
695000,124,5604.83870967742,Excellent,2023,Corvetto,45.4374,9.2137
298000,99,3010.10101010101,Fair,-1,Rogoredo,45.4369,9.235
495000,89,5561.79775280899,Good,2019,Corvetto,45.4421,9.2177
365000,102,3578.43137254902,Good,1950,Corvetto,45.4337,9.2226
350000,50,7000,Good,-1,Corvetto,45.4416,9.2166
235000,55,4272.72727272727,Good,1940,Corvetto,45.439,9.2257
1150000,310,3709.67741935484,Fair,1970,Corvetto,45.4382,9.2256
540000,90,6000,Good,2008,Corvetto,45.4395,9.2067
167000,33,5060.60606060606,Good,-1,Corvetto,45.4364,9.2174
265000,47,5638.29787234043,Excellent,2024,Corvetto,45.4358,9.2185
285000,58,4913.79310344828,Excellent,2024,Corvetto,45.4358,9.2185
